Product Name;Lighting Type;Space Type;ATEX Certified;Power (W);Lumen Output;Image URL;Product Link
Round emergency luminaire for escape route lighting. Recessed mounting. ;Emergency escape lighting;Schools;;3 W;205 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK11 - verlichting/SK1112A2.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r2133s2
Emergency luminaire with comfortable diffuse lighting. Surface mounted.;Emergency escape lighting;Schools;;1 W;200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1R (SK11 - SK12)/SK12 - signalisatie/SK1203A4.jpg;https://www.etaplighting.com/en/series/K1R-light/k1r1651
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;37 W;4650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP24X1.jpg;https://www.etaplighting.com/en/series/R7/R721R1LEDW2445DX1
Industrial line luminaire with sleek design. Surge protection (LN/PE): 1kV/2kV (for light industrial environments).;Industrial light line systems;Industry;;24 W;3300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E4 (SE4)/SE4104A6.jpg;https://www.etaplighting.com/en/series/E4/E4201LED1N030S
Minimalistic design emergency luminaire for single sided signage. Parallel to wall mounting.;Emergency signage;Offices;;1 W;50 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK94 - K9R lange signalering/SK9401A1.jpg;https://www.etaplighting.com/en/series/K9-picto/k9r4331x2s2
Surface-mounted LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;35 W;4750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/SR7001 - R7 opbouw/SR7001F1.jpg;https://www.etaplighting.com/en/series/R7/R728R1LEDW3645DX1
Minimalistic design round emergency luminaire for anti-panic lighting. Recessed mounted.;Emergency escape lighting;Offices;;3 W;300 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K9 (SK9)/SK91 - K9R (nieuw oktober 2012)/SK9104A3.jpg;https://www.etaplighting.com/en/series/K9-light/k9r2253x1
"Emergency luminaire for single or double sided signage. Surface mounted.
";Emergency signage;Industry;;3 W;240 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1012 - signage with plate/SK1012A9.jpg;https://www.etaplighting.com/en/series/K1-picto/k1433
Suspended LED+LENS luminaire.;Surface mounted & suspended luminaires;Schools;;33 W;4650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R7/Pendel/R7RP36X1.jpg;https://www.etaplighting.com/en/series/R7/R751R1LEDN3645DX1
Industrial dust- and waterproof ATEX luminaire.;ATEX,High protection factor luminaires;Industry;;39 W;5000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E2 (SE2)/SE21001A1.jpg;https://www.etaplighting.com/en/series/E2-Atex/E22LED3N045D-ATEX1
Surface-mounted and suspended diffusor luminaire.;Surface mounted & suspended luminaires;Schools;;20 W;2450 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/R8 (SR8)/SR8102 - R8 pendel/SR8102A2.jpg;https://www.etaplighting.com/en/series/R8/R821R1LEDW25S
